NAME	DESCRIPTION	LINK
Fluorescent Antibody Procedure	An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.	http://purl.obolibrary.org/obo/NCIT_C17370
Neuraminidase Inhibition Assay	A type of enzyme-based assay that assesses neuraminidase activity in the presence of an enzyme inhibitor.	http://purl.obolibrary.org/obo/NCIT_C120696
Microneutralization Assay	An in vitro assay that is used to determine whether antibodies that can block viral infection are present in a biological specimen. Virus is mixed with serum taken from the subject and is incubated in culture with laboratory cells, which are monitored over time for cytotoxicity.	http://purl.obolibrary.org/obo/NCIT_C120695
Bulk RNA-seq assay	An RNA-seq assay in which the sample that is sequenced is derived from a collection of cells, such as a tissue sample or entire cell culture, and therefore provides results representative of the aggregate of sample cells.	http://purl.obolibrary.org/obo/OBI_0003090
CITE-Seq	CITE-seq is a method in which oligonucleotide-labeled antibodies are used to integrate cellular protein and transcriptome measurements into an efficient, single-cell readout.	http://www.ebi.ac.uk/efo/EFO_0009294
Histopathology	The microscopic study of characteristic tissue abnormalities by employing various cytochemical and immunocytochemical stains.	http://purl.obolibrary.org/obo/NCIT_C18190
Glycan profiling	The analytical process of characterizing and studying glycans, which are complex carbohydrates or sugars attached to proteins and lipids in biological systems. Glycans play crucial roles in various biological processes, including cell signaling, immune response, and protein folding	http://purl.obolibrary.org/obo/NCIT_C93248
Fluorescence Resonance Energy Transfer	A process to measure the proximity of two fluorochromes whereby the excitation energy of one fluorochrome is released and absorbed by the second fluorochrome. It is used to study interactions and structure of macromolecules.	https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C202404
Bio-layer Interferometry Assay	A binding assay that detects a shift in the interference pattern reflected from a layer of immobilized material on the biosensor tip to measure binding to- or dissociating from the material on the biosensor.	BLI experiments are used to determine the kinetics and affinity of molecular interactions.
X-Ray Crystallography	A technique in crystallography in which the pattern produced by the diffraction of x-rays through the closely spaced lattice of atoms in a crystal is recorded and then analyzed to reveal the nature of that lattice.	http://purl.obolibrary.org/obo/NCIT_C17672
Cryo-Electron Microscopy	Electron microscopy involving an aqueous suspension of a sample which is applied in an extremely thin film to a grid, frozen in liquid nitrogen and maintained in this state by means of a special mount. The imaging of frozen-hydrated molecules and organelles permits the best possible resolution closest to the living state, free of chemical fixatives or stains	http://purl.obolibrary.org/obo/NCIT_C18113
Colorimetric Cell Viability Assay	A colorimetric assay that can assess the viability of cells by quantitation of the reduction of a yellow tetrazolium salt substrate to a product that has a purple color. This assay can measure the cytotoxicity of a chemical or drug by determining the affect of treatment on cell viability. Has exact synonym: MTT Assay, MTS Assay.	http://purl.obolibrary.org/obo/NCIT_C95027
Respiratory Pathogen Panel	A diagnostic test for respiratory pathogens that uses PCR for differential diagnosis during upper or lower respiratory tract infection.	http://purl.obolibrary.org/obo/NCIT_C132852
High-Resolution Mass Spectrometry	Mass spectrometry where the 'exact' mass of the molecular ions in the sample is determined as opposed to the 'nominal' mass (the number of protons and neutrons). Exact Synonyms: high resolution mass spectroscopy, HR-MS, HRMS	http://purl.obolibrary.org/obo/CHMO_0000498
1D Gel	One dimensional gels are used to separate an analyte using one physical feature of the analyte.	http://purl.obolibrary.org/obo/OBI_0001121
2D Gel	Two dimensional gels are used to separate an analyte using two physical features of the analyte.	http://purl.obolibrary.org/obo/OBI_0001121
Array	Arrays (including microarrays) are a set of probes immobilized on a surface. The probes can be oligonucleotides, cDNAs, antibodies and other molecules that recognize a target. Microarrays can be constructed by several methods including (but not limited to in situ oligo synthesis (e.g. Affymetrix), cDNA spotting, bead arrays (e.g. Illumina) and antibody spotting. The position and identity of probes are provided by the manufacturer. The probe identifiers and their target are referred to as annotation or translation of probe identifiers to bioinformatic identifiers. Microarrays can be used for gene expression (mRNA transcript quantification), genotyping, cytokine quantification, etc. Microarrays for gene expression fall into two general classes- single channel and dual channel. The channel refers to the wavelength scanned for fluorescent signals. Affymetrix microarrays are obligatory single channel. There are a host of commercial and non-commercial microarray meanufacturers that use two c	http://purl.obolibrary.org/obo/OBI_0400147 ; http://purl.obolibrary.org/obo/OBI_0001204 ; http://purl.obolibrary.org/obo/OBI_0001307 ;  http://purl.obolibrary.org/obo/OBI_0400149
Cell Culture	A cell culture includes the cells in culture, as well as the media and all additives in which the cells are being grown or in which they are stored.	http://purl.obolibrary.org/obo/OBI_0001876
Circular Dichroism	Circular Dichroism is a form of spectroscopy used to determine the optical isomerism and secondary structure of molecules.	http://en.wikipedia.org/wiki/Circular_Dichroism
CyTOF	Cytometry Time Of Flight CyTOF (DVS Sciences) or Mass cytometry, or , is a variation of flow cytometry in which antibodies are labeled with heavy metal ion tags rather than fluorochromes. Readout is by time-of-flight mass spectrometry.	http://purl.obolibrary.org/obo/OBI_0002115
Cytometric Bead Array Assay	An analyte assay in which a series of beads coated with antibodies specific for different analytes and marked with discrete fluorescent labels are used to simultaneously capture and quantitate soluble analytes.	http://purl.obolibrary.org/obo/OBI_0000920
ELISA	Enzyme-Linked ImmunoSorbant Assay. Quantification of a molecule (e.g cytokine) by an antibody immobilization strategy.	http://purl.obolibrary.org/obo/OBI_0000661
ELISPOT	Enzyme-linked ImmunoSPOT. A variant of ELISA with increased resolution that allows quantifying the number of cells in a population that release a molecule (e.g. cytokine).	http://purl.obolibrary.org/obo/OBI_0600031
EMSA	Electrophoretic mobility shift assay  is an assay which aims to provide information about Protein-DNA or Protein-RNA interaction and which used gel electrophoresis and relies on the fact the molecular interactions will cause the heterodimer to be retarded on the gel when compared to controls corresponding to protein extract alone and protein extract + neutral nucleic acid.	http://purl.obolibrary.org/obo/OBI_0001671
Exome Sequencing	Technique for sequencing all the protein-coding genes in a genome (known as the exome). Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact.	http://purl.obolibrary.org/obo/OBI_0002118
Flow Cytometry	Fluorescence Activated Cell Sorting	http://purl.obolibrary.org/obo/OBI_0000916
HLA Typing	Human Leukocyte Antigen typing.	http://purl.obolibrary.org/obo/OBI_0002122
HPLC	High Performace Liquid Chromotography is used to separate components of a mixture by using a variety of chemical interactions between the substance being analyzed (analyte) and the chromatography column.	http://purl.obolibrary.org/obo/OBI_0002116
Hemagglutination Inhibition	Quantitate serum antibody to a specific antigen by blocking agglutination of cells.	http://purl.obolibrary.org/obo/OBI_0000875
Immunoblot	a western blot analysis is an assay which allows detection of protein present in a extract resolved on polyacrylamide gel by electrophoresis, transfered to a membrane made of nitrocellulose or polyvinylidene difluoride and immobilized using formaldehyde based cross linking.	http://purl.obolibrary.org/obo/OBI_0000854
Immunoprecipitation	An assay with the objective to determine presence of an analyte by mixing a solution of antigen and antibody and separating out bound antigen:antibody complexes using immunoprecipitation.	http://purl.obolibrary.org/obo/OBI_0001700
KIR Typing	Killer cell immunoglobulin-like receptors.	http://purl.obolibrary.org/obo/OBI_0002121
